,identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé)
310,791824,Sarah,Legrain,Ile-de-France,Paris,16,Professeure de français,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
311,795386,Mathieu,Lefèvre,Ile-de-France,Val-de-Marne,5,Cadre de la fonction publique,Renaissance,RE
312,267429,Dino,Cinieri,Auvergne-Rhône-Alpes,Loire,4,Consultant sécurité,Les Républicains,LR
313,794058,Justine,Gruet,Bourgogne-Franche-Comté,Jura,3,Masseur Kinésithérapeute,Les Républicains,LR
314,795184,Tematai,Le Gayic,Polynésie française,Polynésie Française,1,étudiant,Gauche démocrate et républicaine - NUPES,GDR - NUPES
315,793940,Thomas,Cazenave,Nouvelle-Aquitaine,Gironde,1,Cadre de la fonction publique,Renaissance,RE
316,793322,Christelle,D'Intorni,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,5,Avocate,Les Républicains,LR
317,722038,Damien,Adam,Normandie,Seine-Maritime,1,Cadre supérieur (secteur privé),Renaissance,RE
318,795454,Karim,Ben Cheikh,Français établis hors de France,Français établis hors de France,9,Cadre de la fonction publique,Écologiste - NUPES,Ecolo - NUPES
319,607090,Jean-Pierre,Vigier,Auvergne-Rhône-Alpes,Haute-Loire,2,Fonctionnaire de catégorie A,Les Républicains,LR
320,722284,Bruno,Fuchs,Grand Est,Haut-Rhin,6,Chef d'entreprise,Démocrate (MoDem et Indépendants),Dem
321,793744,Anne,Stambach-Terrenoir,Occitanie,Haute-Garonne,2,Sans profession déclarée,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
322,267336,Joël,Giraud,Provence-Alpes-Côte d'Azur,Hautes-Alpes,2,Administrateur civil hors-classe,Renaissance,RE
323,695100,Meyer,Habib,Français établis hors de France,Français établis hors de France,8,Ingénieur,Les Républicains,LR
324,795258,Frantz,Gumbs,Saint-Barthélemy et Saint-Martin,Saint-Barthélemy et Saint-Martin,1,Personnel de direction de l'éducation nationale,Démocrate (MoDem et Indépendants),Dem
325,794008,Cyrielle,Chatelain,Auvergne-Rhône-Alpes,Isère,2,Cadre de la fonction publique,Écologiste - NUPES,Ecolo - NUPES
326,266808,Vincent,Rolland,Auvergne-Rhône-Alpes,Savoie,2,Collaborateur parlementaire,Les Républicains,LR
327,795058,Julien,Bayou,Ile-de-France,Paris,5,Avocat,Écologiste - NUPES,Ecolo - NUPES
328,719338,Graziella,Melchior,Bretagne,Finistère,5,Professeure agrégée,Renaissance,RE
329,793182,Jorys,Bovet,Auvergne-Rhône-Alpes,Allier,2,Chauffeur-livreur,Rassemblement National,RN
330,796026,Julie,Lechanteux,Provence-Alpes-Côte d'Azur,Var,5,,Rassemblement National,RN
331,721158,Pieyre-Alexandre,Anglade,Français établis hors de France,Français établis hors de France,4,Agent contractuel au Parlement européen,Renaissance,RE
332,794946,Antoine,Villedieu,Bourgogne-Franche-Comté,Haute-Saône,1,Policier,Rassemblement National,RN
333,795958,Benjamin,Haddad,Ile-de-France,Paris,14,"Professeur, profession scientifique",Renaissance,RE
334,719718,Laurence,Maillart-Méhaignerie,Bretagne,Ille-et-Vilaine,2,Chef entreprise,Renaissance,RE
